index,Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price
0,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,13h 5m,1 stop,No info,26890
1,SpiceJet,2019-01-03,Banglore,New Delhi,15:35,8h 5m,1 stop,1 Long layover,7744
2,Jet Airways,2019-01-03,Banglore,New Delhi,8:00,12h 20m,1 stop,No info,27992
3,Air India,2019-01-03,Banglore,New Delhi,8:50,39h 5m,2 stops,No info,17135
4,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,23h 45m,1 stop,No info,25735
5,Air India,2019-01-03,Banglore,New Delhi,10:30,10h 55m,2 stops,No info,11213
6,Air India,2019-01-03,Banglore,New Delhi,10:30,7h 15m,2 stops,Change airports,17461
7,Air India,2019-01-03,Banglore,New Delhi,5:50,30h 25m,3 stops,No info,12346
8,Jet Airways,2019-01-03,Banglore,New Delhi,8:00,23h 40m,1 stop,No info,22270
9,IndiGo,2019-01-03,Chennai,Kolkata,7:55,2h 20m,non-stop,No info,8580
10,Air India,2019-01-03,Delhi,Cochin,9:45,22h 30m,1 stop,No info,22798
11,IndiGo,2019-01-03,Chennai,Kolkata,13:20,2h 15m,non-stop,No info,7295
12,Air India,2019-01-03,Banglore,New Delhi,5:50,16h 20m,2 stops,Change airports,13366
13,IndiGo,2019-01-03,Kolkata,Banglore,15:10,2h 35m,non-stop,No info,6565
14,IndiGo,2019-01-03,Mumbai,Hyderabad,16:55,1h 30m,non-stop,No info,8853
15,SpiceJet,2019-01-03,Kolkata,Banglore,22:20,2h 20m,non-stop,No info,5515
16,Air India,2019-01-03,Banglore,New Delhi,11:50,21h 5m,1 stop,1 Long layover,14594
17,IndiGo,2019-01-03,Chennai,Kolkata,11:35,2h 25m,non-stop,No info,7900
18,Air India,2019-01-03,Delhi,Cochin,4:00,27h 40m,1 stop,No info,28322
19,Air India,2019-01-03,Banglore,New Delhi,10:30,12h 25m,1 stop,No info,11003
20,Jet Airways,2019-01-03,Banglore,New Delhi,16:55,14h 45m,1 stop,1 Long layover,26890
21,Air Asia,2019-01-03,Banglore,New Delhi,5:50,2h 50m,non-stop,No info,10715
22,Air India,2019-01-03,Banglore,New Delhi,17:00,2h 45m,non-stop,No info,25913
23,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,6h 45m,1 stop,No info,26890
24,Air India,2019-01-03,Banglore,New Delhi,0:30,23h 25m,1 stop,1 Long layover,12599
25,Air India,2019-01-03,Banglore,New Delhi,5:50,29h 30m,4 stops,Change airports,17686
26,Air India,2019-01-03,Mumbai,Hyderabad,13:55,1h 30m,non-stop,No info,10082
27,Vistara,2019-01-03,Banglore,New Delhi,6:40,15h 15m,1 stop,No info,18387
28,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,22h 45m,1 stop,No info,25735
29,Jet Airways,2019-01-03,Banglore,New Delhi,7:00,6h 15m,1 stop,No info,26890
30,IndiGo,2019-01-03,Banglore,New Delhi,19:35,5h,1 stop,No info,22153
31,Jet Airways,2019-01-03,Banglore,New Delhi,16:55,17h 30m,1 stop,1 Long layover,25735
32,Air India,2019-01-03,Banglore,New Delhi,6:45,5h 30m,1 stop,No info,23677
33,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,18h 10m,1 stop,No info,22270
34,Jet Airways,2019-01-03,Banglore,New Delhi,14:05,20h 20m,1 stop,No info,20800
35,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,21h 50m,1 stop,No info,25735
36,Jet Airways,2019-01-03,Banglore,New Delhi,7:00,9h 10m,1 stop,No info,26890
37,GoAir,2019-01-03,Banglore,New Delhi,7:45,2h 55m,non-stop,No info,13663
38,SpiceJet,2019-01-03,Kolkata,Banglore,17:15,2h 30m,non-stop,No info,5515
39,Jet Airways,2019-01-03,Banglore,New Delhi,7:00,14h 20m,1 stop,No info,27992
40,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,10h 40m,1 stop,1 Long layover,31825
41,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,8h 50m,1 stop,No info,26890
42,IndiGo,2019-01-03,Banglore,New Delhi,23:30,2h 50m,non-stop,No info,10067
43,Air India,2019-01-03,Banglore,New Delhi,11:05,11h 5m,2 stops,Change airports,13576
44,Jet Airways Business,2019-01-03,Banglore,New Delhi,5:45,5h,1 stop,No info,52229
45,Jet Airways,2019-01-03,Banglore,New Delhi,18:40,14h 50m,1 stop,1 Long layover,31825
46,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,12h 35m,1 stop,1 Long layover,31825
47,IndiGo,2019-01-03,Banglore,New Delhi,22:20,2h 50m,non-stop,No info,11934
48,Air India,2019-01-03,Banglore,New Delhi,5:50,16h 20m,2 stops,No info,13576
49,Air India,2019-01-03,Banglore,New Delhi,11:50,25h 10m,1 stop,1 Long layover,15434
50,Jet Airways,2019-01-03,Banglore,New Delhi,11:40,20h,1 stop,No info,22270
51,Jet Airways,2019-01-03,Banglore,New Delhi,19:55,2h 40m,non-stop,No info,18308
52,IndiGo,2019-01-03,Banglore,New Delhi,13:00,2h 50m,non-stop,No info,19685
53,Air India,2019-01-03,Banglore,New Delhi,21:10,2h 45m,non-stop,No info,25703
54,Jet Airways,2019-01-03,Banglore,New Delhi,8:55,20h 10m,1 stop,1 Long layover,26890
55,Air India,2019-01-03,Banglore,New Delhi,6:10,2h 45m,non-stop,No info,15676
56,Air India,2019-01-03,Banglore,New Delhi,9:30,14h 15m,1 stop,No info,12704
57,Air India,2019-01-03,Banglore,New Delhi,17:00,19h 15m,1 stop,No info,10246
58,Jet Airways,2019-01-03,Banglore,New Delhi,7:00,13h 20m,1 stop,No info,27992
59,Jet Airways,2019-01-03,Banglore,New Delhi,22:50,22h 30m,1 stop,No info,25735
60,Air India,2019-01-03,Banglore,New Delhi,8:50,25h 45m,2 stops,No info,31783
61,Vistara,2019-01-03,Banglore,New Delhi,7:00,2h 40m,non-stop,No info,21520
62,Air India,2019-01-03,Banglore,New Delhi,5:50,27h 25m,1 stop,No info,13439
63,IndiGo,2019-01-03,Kolkata,Banglore,17:15,2h 40m,non-stop,No info,6565
64,IndiGo,2019-01-03,Banglore,New Delhi,5:15,4h 45m,1 stop,No Info,8064
65,Jet Airways Business,2019-01-03,Banglore,New Delhi,5:45,6h 40m,1 stop,Business class,62427
66,IndiGo,2019-01-03,Kolkata,Banglore,14:20,2h 35m,non-stop,No info,6565
67,SpiceJet,2019-01-03,Chennai,Kolkata,8:20,2h 15m,non-stop,No info,7298
68,Vistara,2019-01-03,Banglore,New Delhi,11:30,2h 40m,non-stop,No info,12648
69,Air India,2019-01-03,Banglore,New Delhi,5:50,10h 30m,2 stops,Change airports,15119
70,Jet Airways,2019-01-03,Banglore,New Delhi,8:00,7h 15m,1 stop,No info,22270
71,Air India,2019-01-03,Banglore,New Delhi,8:50,39h 5m,2 stops,No info,17135
72,Air India,2019-01-03,Banglore,New Delhi,10:30,24h 50m,1 stop,No info,11528
73,IndiGo,2019-01-03,Banglore,New Delhi,7:10,2h 55m,non-stop,No info,11934
74,Air India,2019-01-03,Banglore,New Delhi,13:20,2h 50m,non-stop,No info,12526
75,Air India,2019-01-03,Banglore,New Delhi,8:50,24h 35m,2 stops,No info,25430
76,Vistara,2019-01-03,Banglore,New Delhi,21:10,2h 55m,non-stop,No info,21730
77,Multiple carriers,2019-01-03,Delhi,Cochin,12:50,6h 25m,1 stop,No info,36983
78,GoAir,2019-01-03,Banglore,New Delhi,20:55,2h 55m,non-stop,No info,18558
79,Air India,2019-01-03,Banglore,New Delhi,5:50,27h,3 stops,No info,13081
80,Air India,2019-01-03,Banglore,New Delhi,0:30,20h,1 stop,1 Long layover,14752
