"level_0";"index";"Airline";"Date_of_Journey";"Source";"Destination";"Dep_Time";"Duration";"Total_Stops";"Additional_Info";"Price";"departure";"duration_mins";"arrival"
0;0;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"11:40";"13h 5m";"1 stop";"No info";26890;"2019-01-03 11:40:00";785;"2019-01-04 00:45:00"
1;1;"SpiceJet";"2019-01-03";"Banglore";"New Delhi";"15:35";"8h 5m";"1 stop";"1 Long layover";7744;"2019-01-03 15:35:00";485;"2019-01-03 23:40:00"
2;2;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:00";"12h 20m";"1 stop";"No info";27992;"2019-01-03 08:00:00";740;"2019-01-03 20:20:00"
3;3;"Air India";"2019-01-03";"Banglore";"New Delhi";"8:50";"39h 5m";"2 stops";"No info";17135;"2019-01-03 08:50:00";2345;"2019-01-04 23:55:00"
4;4;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"11:40";"23h 45m";"1 stop";"No info";25735;"2019-01-03 11:40:00";1425;"2019-01-04 11:25:00"
5;5;"Air India";"2019-01-03";"Banglore";"New Delhi";"10:30";"10h 55m";"2 stops";"No info";11213;"2019-01-03 10:30:00";655;"2019-01-03 21:25:00"
6;6;"Air India";"2019-01-03";"Banglore";"New Delhi";"10:30";"7h 15m";"2 stops";"Change airports";17461;"2019-01-03 10:30:00";435;"2019-01-03 17:45:00"
7;7;"Air India";"2019-01-03";"Banglore";"New Delhi";"5:50";"30h 25m";"3 stops";"No info";12346;"2019-01-03 05:50:00";1825;"2019-01-04 12:15:00"
8;8;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:00";"23h 40m";"1 stop";"No info";22270;"2019-01-03 08:00:00";1420;"2019-01-04 07:40:00"
9;9;"IndiGo";"2019-01-03";"Chennai";"Kolkata";"7:55";"2h 20m";"non-stop";"No info";8580;"2019-01-03 07:55:00";140;"2019-01-03 10:15:00"
10;10;"Air India";"2019-01-03";"Delhi";"Cochin";"9:45";"22h 30m";"1 stop";"No info";22798;"2019-01-03 09:45:00";1350;"2019-01-04 08:15:00"
11;11;"IndiGo";"2019-01-03";"Chennai";"Kolkata";"13:20";"2h 15m";"non-stop";"No info";7295;"2019-01-03 13:20:00";135;"2019-01-03 15:35:00"
12;12;"Air India";"2019-01-03";"Banglore";"New Delhi";"5:50";"16h 20m";"2 stops";"Change airports";13366;"2019-01-03 05:50:00";980;"2019-01-03 22:10:00"
13;13;"IndiGo";"2019-01-03";"Kolkata";"Banglore";"15:10";"2h 35m";"non-stop";"No info";6565;"2019-01-03 15:10:00";155;"2019-01-03 17:45:00"
14;14;"IndiGo";"2019-01-03";"Mumbai";"Hyderabad";"16:55";"1h 30m";"non-stop";"No info";8853;"2019-01-03 16:55:00";90;"2019-01-03 18:25:00"
15;15;"SpiceJet";"2019-01-03";"Kolkata";"Banglore";"22:20";"2h 20m";"non-stop";"No info";5515;"2019-01-03 22:20:00";140;"2019-01-04 00:40:00"
16;16;"Air India";"2019-01-03";"Banglore";"New Delhi";"11:50";"21h 5m";"1 stop";"1 Long layover";14594;"2019-01-03 11:50:00";1265;"2019-01-04 08:55:00"
17;17;"IndiGo";"2019-01-03";"Chennai";"Kolkata";"11:35";"2h 25m";"non-stop";"No info";7900;"2019-01-03 11:35:00";145;"2019-01-03 14:00:00"
18;18;"Air India";"2019-01-03";"Delhi";"Cochin";"4:00";"27h 40m";"1 stop";"No info";28322;"2019-01-03 04:00:00";1660;"2019-01-04 07:40:00"
19;19;"Air India";"2019-01-03";"Banglore";"New Delhi";"10:30";"12h 25m";"1 stop";"No info";11003;"2019-01-03 10:30:00";745;"2019-01-03 22:55:00"
20;20;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"16:55";"14h 45m";"1 stop";"1 Long layover";26890;"2019-01-03 16:55:00";885;"2019-01-04 07:40:00"
21;21;"Air Asia";"2019-01-03";"Banglore";"New Delhi";"5:50";"2h 50m";"non-stop";"No info";10715;"2019-01-03 05:50:00";170;"2019-01-03 08:40:00"
22;22;"Air India";"2019-01-03";"Banglore";"New Delhi";"17:00";"2h 45m";"non-stop";"No info";25913;"2019-01-03 17:00:00";165;"2019-01-03 19:45:00"
23;23;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"11:40";"6h 45m";"1 stop";"No info";26890;"2019-01-03 11:40:00";405;"2019-01-03 18:25:00"
24;24;"Air India";"2019-01-03";"Banglore";"New Delhi";"0:30";"23h 25m";"1 stop";"1 Long layover";12599;"2019-01-03 00:30:00";1405;"2019-01-03 23:55:00"
25;25;"Air India";"2019-01-03";"Banglore";"New Delhi";"5:50";"29h 30m";"4 stops";"Change airports";17686;"2019-01-03 05:50:00";1770;"2019-01-04 11:20:00"
26;26;"Air India";"2019-01-03";"Mumbai";"Hyderabad";"13:55";"1h 30m";"non-stop";"No info";10082;"2019-01-03 13:55:00";90;"2019-01-03 15:25:00"
27;27;"Vistara";"2019-01-03";"Banglore";"New Delhi";"6:40";"15h 15m";"1 stop";"No info";18387;"2019-01-03 06:40:00";915;"2019-01-03 21:55:00"
28;28;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"11:40";"22h 45m";"1 stop";"No info";25735;"2019-01-03 11:40:00";1365;"2019-01-04 10:25:00"
29;29;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"7:00";"6h 15m";"1 stop";"No info";26890;"2019-01-03 07:00:00";375;"2019-01-03 13:15:00"
30;30;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"19:35";"5h";"1 stop";"No info";22153;"2019-01-03 19:35:00";300;"2019-01-04 00:35:00"
31;31;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"16:55";"17h 30m";"1 stop";"1 Long layover";25735;"2019-01-03 16:55:00";1050;"2019-01-04 10:25:00"
32;32;"Air India";"2019-01-03";"Banglore";"New Delhi";"6:45";"5h 30m";"1 stop";"No info";23677;"2019-01-03 06:45:00";330;"2019-01-03 12:15:00"
33;33;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"18h 10m";"1 stop";"No info";22270;"2019-01-03 14:05:00";1090;"2019-01-04 08:15:00"
34;34;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"14:05";"20h 20m";"1 stop";"No info";20800;"2019-01-03 14:05:00";1220;"2019-01-04 10:25:00"
35;35;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"11:40";"21h 50m";"1 stop";"No info";25735;"2019-01-03 11:40:00";1310;"2019-01-04 09:30:00"
36;36;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"7:00";"9h 10m";"1 stop";"No info";26890;"2019-01-03 07:00:00";550;"2019-01-03 16:10:00"
37;37;"GoAir";"2019-01-03";"Banglore";"New Delhi";"7:45";"2h 55m";"non-stop";"No info";13663;"2019-01-03 07:45:00";175;"2019-01-03 10:40:00"
38;38;"SpiceJet";"2019-01-03";"Kolkata";"Banglore";"17:15";"2h 30m";"non-stop";"No info";5515;"2019-01-03 17:15:00";150;"2019-01-03 19:45:00"
39;39;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"7:00";"14h 20m";"1 stop";"No info";27992;"2019-01-03 07:00:00";860;"2019-01-03 21:20:00"
40;40;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"22:50";"10h 40m";"1 stop";"1 Long layover";31825;"2019-01-03 22:50:00";640;"2019-01-04 09:30:00"
41;41;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"22:50";"8h 50m";"1 stop";"No info";26890;"2019-01-03 22:50:00";530;"2019-01-04 07:40:00"
42;42;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"23:30";"2h 50m";"non-stop";"No info";10067;"2019-01-03 23:30:00";170;"2019-01-04 02:20:00"
43;43;"Air India";"2019-01-03";"Banglore";"New Delhi";"11:05";"11h 5m";"2 stops";"Change airports";13576;"2019-01-03 11:05:00";665;"2019-01-03 22:10:00"
44;44;"Jet Airways Business";"2019-01-03";"Banglore";"New Delhi";"5:45";"5h";"1 stop";"No info";52229;"2019-01-03 05:45:00";300;"2019-01-03 10:45:00"
45;45;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"18:40";"14h 50m";"1 stop";"1 Long layover";31825;"2019-01-03 18:40:00";890;"2019-01-04 09:30:00"
46;46;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"22:50";"12h 35m";"1 stop";"1 Long layover";31825;"2019-01-03 22:50:00";755;"2019-01-04 11:25:00"
47;47;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"22:20";"2h 50m";"non-stop";"No info";11934;"2019-01-03 22:20:00";170;"2019-01-04 01:10:00"
48;48;"Air India";"2019-01-03";"Banglore";"New Delhi";"5:50";"16h 20m";"2 stops";"No info";13576;"2019-01-03 05:50:00";980;"2019-01-03 22:10:00"
49;49;"Air India";"2019-01-03";"Banglore";"New Delhi";"11:50";"25h 10m";"1 stop";"1 Long layover";15434;"2019-01-03 11:50:00";1510;"2019-01-04 13:00:00"
50;50;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"11:40";"20h";"1 stop";"No info";22270;"2019-01-03 11:40:00";1200;"2019-01-04 07:40:00"
51;51;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"19:55";"2h 40m";"non-stop";"No info";18308;"2019-01-03 19:55:00";160;"2019-01-03 22:35:00"
52;52;"IndiGo";"2019-01-03";"Banglore";"New Delhi";"13:00";"2h 50m";"non-stop";"No info";19685;"2019-01-03 13:00:00";170;"2019-01-03 15:50:00"
53;53;"Air India";"2019-01-03";"Banglore";"New Delhi";"21:10";"2h 45m";"non-stop";"No info";25703;"2019-01-03 21:10:00";165;"2019-01-03 23:55:00"
54;54;"Jet Airways";"2019-01-03";"Banglore";"New Delhi";"8:55";"20h 10m";"1 stop";"1 Long layover";26890;"2019-01-03 08:55:00";1210;"2019-01-04 05:05:00"
