"index";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"Memory";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
0;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"128GB SSD";"SSD";128;0;"Intel";"macos";"1.37";71379
1;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"128GB Flash Storage";"Flash Storage";128;0;"Intel";"macos";"1.34";47896
2;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"N/A";"1.86";30636
3;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"512GB SSD";"SSD";512;0;"AMD";"macos";"1.83";135195
4;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"256GB SSD";"SSD";256;0;"Intel";"macos";"1.37";96096
5;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"500GB HDD";"HDD";500;0;"AMD";"windows";"2.1";21312
6;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"256GB Flash Storage";"Flash Storage";256;0;"Intel";"macos";"2.04";114018
7;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"256GB Flash Storage";"Flash Storage";256;0;"Intel";"macos";"1.34";61736
8;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;16;"512GB SSD";"SSD";512;0;"Nvidia";"windows";"1.3";79654
9;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.6";41026
10;"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"500GB HDD";"HDD";500;0;"Intel";"N/A";"1.86";20987
11;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"500GB HDD";"HDD";500;0;"Intel";"N/A";"1.86";18381
12;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.8;16;"256GB SSD";"SSD";256;0;"AMD";"macos";"1.83";130002
13;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"256GB SSD";"SSD";256;0;"AMD";"windows";"2.2";26581
14;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"256GB SSD";"SSD";256;0;"Intel";"macos";"0.92";67261
15;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"256GB SSD";"SSD";256;0;"Intel";"macos";"1.37";80908
16;"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"AMD";"windows";"2.2";39694
17;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"512GB SSD";"SSD";512;0;"AMD";"macos";"1.83";152274
18;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"1TB HDD";"HDD";1024;0;"Nvidia";"N/A";"2.2";26587
19;"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"128GB SSD";"SSD";128;0;"Intel";"windows";"1.22";52161
21;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";"2.5";53227
22;"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series E2-9000e";1.5;4;"500GB HDD";"HDD";500;0;"AMD";"N/A";"1.86";13746
23;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.62";43636
24;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Intel";"windows";"1.91";35112
